pid,dt,url,title,price,neighb,sqft,lat,lng,accuracy,body_text,furnished,laundry_known,laundry_onpremises,laundry_inunit,room_known,private_room,bath_known,private_bath,parking_known,onsite_parking
6020007916,2017-03-10 11:55,http://sfbay.craigslist.org/nby/roo/6020007916.html,1BR/1BA in gated condo on the water in San Rafael,1350,san rafael,1150,37.965308,-122.508755,10,"Hi! 

****This room is still available for a March 15 move in, please contact me if interested, I just had someone back out so we're back on the market!****

Thanks for stopping by. I'm renting an un-furnished bedroom with walk in closet and a full bathroom with shower/tub. The room is approximately 12x13 (not including walk in closet). 

The rest of the condo:
This is a 2br/2ba unit aprox 1100sqft - each roommate has their own full bathroom (tub/shower). 
We are right on the water and have 2 decks that look out to passing boats, paddle boarders and the adjacent hills. This is especially awesome during the summer months when you can dine and entertain outside :). 

-The living room is fully furnished, you just need to furnish your bedroom! 
-Full size washer/dryer in unit.
-Extra storage unit attached to deck
-Gated dedicated parking space for each roommate (2) spaces 
-Stainless appliances in kitchen 
-Light and bright living room with working wood burning/gas fireplace 
-Coat closet, utility closet and linen closet to share (lots of storage space!) 

This is a really special unit and I would love to find someone great to share it with. Rent is $1350 not including utilities which typically run about $150/mo shared (comcast + PG&E). 

What I'm looking for: 
M or F, fully employed out of the house
Done with their partying years but appreciate a glass of wine/beer and party every now and then
Has a life outside of the home (not just a home body or video game addict!) 
Must have good credit and be financially stable 

About me:
I'm early 30's female, love living in Marin for all it has to offer! Hiking, kayaking, camping, great restaurants, WINE TASTING!, tennis, great weather etc. 
I have a friendly cuddly cat - FYI, cannot accept any other pets at this time - sorry :( 
I'm warm and friendly but keep pretty busy with my work and friend circle I've build here. 

So, tell me a bit about you and what you're looking for! 

Thanks",False,TRUE,FALSE,True,True,TRUE,True,TRUE,TRUE,FALSE
6030295805,2017-03-10 11:54,http://sfbay.craigslist.org/sfc/roo/6030295805.html,Rooms with Private Bath available $1290 / Without Private Bath $1090,1090,financial district,0,,,,"We have an enormous house in SF. It functions like a co-op, but it's way better. We are a fun group of people with many diverse interests. Honestly, it's great here because we all came to SF for our jobs, and found an amazing group of people to live and hangout with... We all went from knowing no one in the city to belonging to an instant community/family at the house.

Rooms with Private Bath available $1290 / Without Private Bath $1090

A little more about our interests and what we're looking for in a roommate:

Living in the city definitely has its advantages. Being able to live in the city is a privilege given the insane rent prices, so a lot of us don't waste our time. We are food-lovers, beer-lovers, dancers, party-ers, but also enjoy hanging out and watching Game of Thrones. A lot of us are into the tech/startup community so we'll try to organize some Tech talks and programming events. We have non-tech events as well - we go out together to explore nature in the SF/Bay Area and play on local amateur sports teams. We also host epic parties!

For a roommate, we are looking for anyone friendly, easy going, have some common interest stated above, clean, respectful and most of all, enjoy living in an awesome city like San Francisco!
Please  Email me your contact info to set up a meeting.
Thanks",False,TRUE,FALSE,True,True,TRUE,True,TRUE,TRUE,FALSE
6038190571,2017-03-10 11:54,http://sfbay.craigslist.org/sfc/roo/6038190571.html,Roommate wanted for apartment share,1200,lower nob hill,0,37.788178,-122.416827,15,"looking for a responsible person to share 2 room apartment. large room, lots of light with bay style windows and private access to walk in closet. shared bathroom and kitchen. the room is partially furnished with a small love seat, bookshelf and coffee table. There is a small dresser in the walk-in closet (it can stay or go depending on needs).

MUST LOVE CATS... two super cool cats live in apartment. A Siamese and Persian.

I'm very quiet and private. I work with animals so I'm in and out 7 days a week or you can find me on the computer or mostly watching TV. I don't cook so there's free reign in the kitchen. I need someone to share rent as housing prices are on the rise in San Francisco. I cover all utilities, Wi-Fi and cable.

This is a unique living situation but with the right person it will be ideal for both. Located at Sutter and Hyde the apartment is convenient to transportation, Trader Joes and restaurants. The building has laundry facilities.

Move-in costs are first and last month rent totaling $2400. April rent will be pro-rated to reflect March move in date. E-mail me with questions or to set up an appointment to view the space.",False,TRUE,TRUE,False,True,TRUE,True,FALSE,TRUE,FALSE
6038136373,2017-03-10 11:54,http://sfbay.craigslist.org/sby/roo/6038136373.html,Room with private bathroom in 2br/2bathroom resort style condo,1490,Sunnyvale/Santa Clara border,1000,37.355663,-121.998301,10,"Guest bedroom with separate bathroom is available in resort style condo. Facilities include: swimming pool, hot tub, sauna, tennis court, ping pong table and a club house. Very convenient central location on the border of Sunnyvale and Santa Clara, walking distance to public transportation, stores, restaurants, easy access to both 101 and 280. Very close to Apple, Google, Yahoo and many other companies in the area. The room is being rented out weekly ($490/week) or monthly ($1490/month) with the refundable deposit proportional to the time of your stay. Pets are welcome!",True,FALSE,FALSE,False,True,TRUE,True,TRUE,TRUE,FALSE
6028282896,2017-03-10 11:52,http://sfbay.craigslist.org/sfc/roo/6028282896.html,Shared Studio Apartment Near Downtown,1050,tenderloin,0,37.785656,-122.413766,7,"ABOUT THE UNIT:
Hardwood Floor
On Site Laundry
Dishwasher
Granite Counters
Bright and Sunny!
Tile Kitchen
Smoke-Free
Unfurnished
Pets welcome
Loft (you'll be sleeping on the top loft unit - see picture - but we're open to rearrange the space for other sleeping arrangements)

ABOUT THE RENT:
Rent: $1050 / month.
All Inclusive  (utilities, internet, garbage)
Month to month lease
Available starting from March 23 (sooner availability negotiable).

ABOUT THE ROOMMATE YOU'LL LIVE WITH: 
Male. Early 20s. Musician. Originally from Minnesota. Outgoing, clean, friendly, laid back, works well with others.

ABOUT THE NEIGHBORHOOD:
Tenderloin San Francisco CA is a nine minute walk from the J CHURCH, the KT INGLESIDE/THIRD and the L TARAVAL at the Metro Powell Station/Outbound stop.

This apartment is in the Downtown neighborhood in San Francisco. Nearby parks include Boeddeker Park, O'Farrell-Larkin Mini-Park and Parklet.

Tenderloin San Francisco CA has a Walk Score of 100 out of 100. This location is a Walker's Paradise so daily errands do not require a car.

Nearby schools include San Francisco City Academy, San Francisco Flex Academy and De Marillac Academy.

The closest grocery stores are Econo Market, Deena's Market and City Supermarket.

Nearby coffee shops include Nile Cafe, Vietnamese sandwiches & Coffee and Angel Cafe & Deli.

There are 418 restaurants within a 15 minute walk including El Tesoro Taqueria & Grill, Pakwan and Chutney Restaurant.

Tenderloin San Francisco CA is near California Institute of Integral Studies, Wells Fargo Headquarters and Academy of Art University.

There are excellent bike lanes and the terrain has some hills. Tenderloin San Francisco CA is very bikeable, biking is convenient for most trips.

Cross St: Leavenworth & O'Farrell

INTERESTED? Contact Ricky - prospericky [at] hotmail (dot) com",False,TRUE,TRUE,False,True,FALSE,True,FALSE,TRUE,FALSE
6038186873,2017-03-10 11:52,http://sfbay.craigslist.org/nby/roo/6038186873.html,Sebastopol Room for Rent w/Private Bathroom,1350,sebastopol,0,38.394714,-122.864004,15,"Available now. Sunny bedroom with private bathroom has shower (no tub). This is a three bedroom four bathroom home. We share a large kitchen, living room and a  800 square foot deck off the kitchen. The house is 3 miles from downtown Sebastopol. It's great country living only a few minutes to town. Parking is available on the precises. Property has Great VIEWS and plenty of room for a garden and small projects.

There will be no drugs or smoking of any kind, no parties

Please ensure your response to this ad includes:
your name and telephone number. Some information about yourself where you work or go to school, your usual daytime/work hours, your current circumstances, lifestyle, interests and anything you'd like me to consider.

Thank You,

M.C.",False,FALSE,FALSE,False,True,TRUE,True,TRUE,TRUE,FALSE
6038174644,2017-03-10 11:52,http://sfbay.craigslist.org/eby/roo/6038174644.html,Suite with a view,1000,richmond / point / annex,0,37.939429,-122.308248,5,"furnished suite of two room with half bath upstairs of our secluded and unique house on the border line El Cerrito/Richmond (off Arlington) public transportation buses and Bart. Upstairs. Lots of storage space. Washer/Dryer available. Wifi, refrigerator and microwave in room. Meals negotiable. We are a mature well travel couple working at home. Ideal for a busy professional or graduate student or visiting professor.",True,TRUE,TRUE,False,True,TRUE,True,TRUE,TRUE,FALSE
6038186097,2017-03-10 11:52,http://sfbay.craigslist.org/eby/roo/6038186097.html,Single Furnished Room Available for Rent,750,san leandro,1900,37.678700,-122.129500,22,"*If you do not attach a photo I am not going to reply, I have gotten too many interesting Craigslist people. (Sorry)
*Photos of the house will be posted later today.

Hi everyone! We are looking for a 5th tenant in our beautiful home in San Lorenzo for 3 months (Starting April 1st to June 30th.) We currently have 3 dudes and 1 girl. :)
 
RENT: 
Rent is $750 + utilities (Which varies from $55 to $100). A security deposit of $850 is also required (which is refundable deducting potential damages and last month's utilities).

ROOMMATES:
- Gender is not an issue. The house currently has 1 women and 3 men, it is a single so no couples or doubles.
>> One tenant currently lives in a loft in the garage. 
- We are all in our 20s-early 30s and would prefer someone who is in the same age range. 
- Smoking is permitted outside.
- We need someone who is responsible and reliable and has a steady job (or steady source of income).
- No pets :)

THE HOUSE:
- The house is now completely furnished, and the room includes a bed, desk and TV stand). 
- House is newly remodeled with stainless steal appliances. 
- This house has a spacious front and back-yard with off street and drive-way parking.
- On-site washer and dryer
- Beautiful backyard with fruit trees and large patio area for BBQ'ing.
- We also just re-did the garage, which includes in home theater, more instruments, and crafting area! :D

TRANSPORTATION/ACCESSIBILITY:
- House minutes away from the 580 and 880 freeway entrance. 
- Close to public transportation. Minutes drive away from BART and bus stop, it is about a mile walk.
- Super convenient location near the Bay Fair shopping center and near Walmart.",True,TRUE,FALSE,True,True,TRUE,True,FALSE,TRUE,FALSE
6038173227,2017-03-10 11:51,http://sfbay.craigslist.org/sfc/roo/6038173227.html,"Private Bed Room in Bernal Heights, available NOW",1150,bernal heights,0,37.734763,-122.414313,15,"Hardwood floors
Double pane window
You can watch sun rise every day and fireworks from your room
Spacious living room 
1 block to bus station to BART for Glen Park or 24th at Mission 
Easy access to freeway I-101 & I-280
With/without furniture 

One month deposit and one month rent, move in cost $2300",False,FALSE,FALSE,False,True,TRUE,True,FALSE,TRUE,FALSE
6038183295,2017-03-10 11:50,http://sfbay.craigslist.org/sfc/roo/6038183295.html,Room For Rent (UCSF Mount Zion) All utilities included,2000,lower pac hts,2000,37.785968,-122.441726,15,"Available furnished or unfurnished. Approx. 2000 Sq Ft. This top-floor flat, in a 3-unit Edwardian building was recently gutted to the studs and totally remodeled, including re-wiring, re-plumbing, insulation, new heating, new double-paned windows, new oak floors, new skylights, etc. All the original Edwardian redwood detail and trim was preserved, stripped and re-finished by hand. The result is a huge flat, unlike anything built today, but with all the benefits of a modern home. The kitchen and bathrooms were completely re-done and include custom cabinetry, honed granite and marble counters, stainless steel appliances including washer and dryer, and a double-paned conservatory off the kitchen, with views toward Pacific Heights. There are 4 bedrooms, 2 1/2 bathrooms, a double parlour, formal dining room, etc. In short, the works. Click on the link below to see pictures. Looking for a quiet, responsible, professional roommate. One block from UCSF Mt. Zion/UCSF/VA shuttles. Two blocks from Kaiser. Convenient for numerous bus lines (1, 1AX, 1BX, 2, 3, 4, 22, 24, 38, 38AX, 38BX, 38R, 43) express buses to the Financial District and SOMA and the Apple, Electronic Arts, Facebook, Genentech, Google, Yahoo shuttles, etc. Conveniently located for easy access to the Presidio, Golden Gate Bridge, Marin, etc. Parking available. Available now. All utilities included. Parking available. 




http://share.shutterfly.com/action/welcome?sid=8AatWbhkzbN3PA&emid=sharview&linkid=link4",True,TRUE,FALSE,True,True,TRUE,True,TRUE,TRUE,TRUE
6034303089,2017-03-10 11:50,http://sfbay.craigslist.org/eby/roo/6034303089.html,Partial share - Master suite for Female help with home origanization,350,pittsburg / antioch,200,,,,"I am looking for a mature open minded fem. person to share a large master suite and private bath with me , im home half the week or sometimes less , great king bed in large room with sofa - you can sleep on sofa when im there if you prefer - or we could add another bed. by the way  3  females already share the 4 bedroom house,  Im only asking for $350 month  - and its a nice home !  Looking for help to get house organized and ready to sell it in a couple years. then if this sounds like it may work for you send phone # in your e-mail please.",True,TRUE,TRUE,False,True,TRUE,True,TRUE,TRUE,FALSE
6038182371,2017-03-10 11:49,http://sfbay.craigslist.org/sby/roo/6038182371.html,Private Bed/Bath in 3bd/2.5bth Condo,1600,sunnyvale,126,37.384514,-122.042570,7,"I have a room available to rent in my 3 bedroom/2.5 bath condo in Sunnyvale. The room is 11'x11.5' with a three sliding door closet and its own attached full bathroom. There is a washer and dryer in the garage, a common living room, and a small kitchen. The third room has a half bath and can be used for office space/guest room. There is room in the garage for an additional car to park in tandem with mine (or there is street parking available).

Rent would be $1600/month plus shared Utilities/Internet/Monthly cleaning which all usually come to ~$135/month - Can rent month to month. Security deposit would be $500.

You'd only be sharing the condo with one other person: an early 30s busy engineer, soccer player, bicycling enthusiast, and laid back roommate.

The condo is located off of California (between Mary and Mathilda). If the location is appealing, email back and I can provide some pics and additional info about myself.

*Available Now*",False,TRUE,FALSE,True,True,TRUE,True,TRUE,TRUE,TRUE
6038182307,2017-03-10 11:49,http://sfbay.craigslist.org/sfc/roo/6038182307.html,From April 1st! NICE room in PEACEFUL house for male .,995,sunset / parkside,260,37.759300,-122.483600,22,"We are looking for a male roommate. 
Nice, spacious room in big, peaceful house conveniently located at 20th Ave and Judah.
This bedroom is for ONE person only! 
Couple roommates are mature straight guys.
We  are looking for a male, who's  has productive style of life and clean in the common areas.
Verification of stable income is required. 
Utilities, furnishing and maid service are not included.
There are LOTS of bus lines stops nearby to take you all anywhere around the city.
Few transportation lines: to SFSU- Stonetown, UCSF Medical Center, Downtown, in one block away from the house.
 To see the room, please, call 
 
 
This phone does not takes text messages. Thank you.",True,TRUE,TRUE,False,True,TRUE,True,FALSE,TRUE,FALSE
6032512283,2017-03-10 11:48,http://sfbay.craigslist.org/sby/roo/6032512283.html,雅房出租 - 近 Mitsuwa supermarket,780,saratoga,0,37.289042,-121.994869,20,"租房间出租，$780，獨立出入口, 共用洗手间，新装修，環境安靜, 后院空间大。
交通方便，近高速公路280，880 ，85
近De Anza College（10分钟车程）， West Valley， San Jose City College 和 San Jose State University。 近 Westgate Mall （ 0.8 mile) ， Mitsuwa Marketplace（1.3 miles ）
可洗衣，高速上网.
欢迎不烟，簡單，整潔,不帶人過夜, 無寵物的工作人仕，最好能說中文, 具體可詳談，有意者请email  
 
 or text message to",False,TRUE,TRUE,False,True,TRUE,True,FALSE,TRUE,FALSE
6025921913,2017-03-10 11:48,http://sfbay.craigslist.org/nby/roo/6025921913.html,Night Owl Needed to Share House in Penngrove,1100,petaluma,0,,,,"Share a 4 bedroom house on 1 acre with owner (me). One person only, no pets.

For rent is a big master bedroom with a sliding glass door to the backyard. Bedroom is currently furnished with Queen size Sleep Number bed, dresser, desk, nightstand and bookshelf. Sheets and towels can be provided as well. You would have your own bathroom with perhaps very occasional public use; as well as full use of house including two separate living rooms, huge kitchen and laundry room. I can remove furnishings you don't want.

Rent would include all utilities including internet. A TV in your bedroom would be extra, as would a landline phone. Also included are household goods such as paper towels, toilet paper, cleaning supplies, laundry soap etc.

Like to garden? I have an acre begging for some love. Great neighborhood with animals all around-horses, sheep, goats and cattle. Herds of wild turkeys are wandering around, and the deer sleep in my yard most nights. I regularly see plenty of rabbits, raccoons, possum, skunk and the occasional fox as well. Lots of birds make for great music day and night.

Now comes the catch, you knew there had to be one. . .. . ...I work and live rather odd hours. I'm normally up 'til 2 or 3 am, and I get up around 10 or 11. Combine that with 2 other issues-1. I'm a light sleeper, 2. I'm considerate to a fault; and we have a situation where I need to find someone that I won't disturb at night and won't wake me in the morning. 

Hopefully we can also come together as far as lifestyle. . .. . .I am very neat but a lousy house cleaner, so I try not to make a mess and clean as I go. An outstanding house cleaner could get a reduction in rent. Good clear communication, honesty, consideration and respect are qualities you can expect from me; I'm looking for the same.

Absolute deal breakers besides the hours:
1.	I am renting to one person only, sorry, No couples, full or part time kids, or significant others that are around all the time. Occasional overnight guests are not a problem.
2.	No pets. I have a 14 year old cat that doesn't want company, sorry.

Age and gender not important, I'm looking for the right fit.
 
Other than that. . ...let's see. . .. . .I'm a philosopher, an athlete, a musician and a nature lover. I live kind of a noisy life, so I like a peaceful place to come home to.

Ok. . .this is getting long. . .. . ..have questions? Wanna come check it out?

Give me a call.  Dave  
 
  (Voice only, no text)

Good luck in your search!!!",True,TRUE,FALSE,True,True,TRUE,True,TRUE,TRUE,FALSE
